Date,State,Confirmed,Predicted
2020/2/1,AK,0,-1
2020/2/2,AK,0,-1
2020/2/3,AK,0,-1
2020/2/4,AK,0,-1
2020/2/5,AK,0,-1
2020/2/6,AK,0,-1
2020/2/7,AK,0,-1
2020/2/8,AK,0,-1
2020/2/9,AK,0,-1
2020/2/10,AK,0,-1
2020/2/11,AK,0,-1
2020/2/12,AK,0,-1
2020/2/13,AK,0,-1
2020/2/14,AK,0,-1
2020/2/15,AK,0,-1
2020/2/16,AK,0,-1
2020/2/17,AK,0,-1
2020/2/18,AK,0,-1
2020/2/19,AK,0,-1
2020/2/20,AK,0,-1
2020/2/21,AK,0,-1
2020/2/22,AK,0,-1
2020/2/23,AK,0,-1
2020/2/24,AK,0,-1
2020/2/25,AK,0,-1
2020/2/26,AK,0,-1
2020/2/27,AK,0,-1
2020/2/28,AK,0,-1
2020/2/29,AK,0,-1
2020/3/1,AK,0,-1
2020/3/2,AK,0,-1
2020/3/3,AK,0,-1
2020/3/4,AK,0,-1
2020/3/5,AK,0,-1
2020/3/6,AK,0,-1
2020/3/7,AK,0,-1
2020/3/8,AK,0,-1
2020/3/9,AK,0,-1
2020/3/10,AK,0,-1
2020/3/11,AK,0,-1
2020/3/12,AK,1,-1
2020/3/13,AK,0,-1
2020/3/14,AK,0,-1
2020/3/15,AK,0,-1
2020/3/16,AK,2,-1
2020/3/17,AK,3,-1
2020/3/18,AK,3,-1
2020/3/19,AK,3,-1
2020/3/20,AK,2,-1
2020/3/21,AK,7,-1
2020/3/22,AK,1,-1
2020/3/23,AK,14,-1
2020/3/24,AK,6,-1
2020/3/25,AK,17,-1
2020/3/26,AK,10,-1
2020/3/27,AK,16,-1
2020/3/28,AK,17,-1
2020/3/29,AK,12,-1
2020/3/30,AK,6,-1
2020/3/31,AK,13,-1
2020/4/1,AK,10,-1
2020/4/2,AK,3,-1
2020/4/3,AK,10,-1
2020/4/4,AK,13,-1
2020/4/5,AK,14,-1
2020/4/6,AK,6,-1
2020/4/7,AK,22,-1
2020/4/8,AK,13,-1
2020/4/9,AK,9,-1
2020/4/10,AK,11,-1
2020/4/11,AK,11,-1
2020/4/12,AK,15,-1
2020/4/13,AK,5,-1
2020/4/14,AK,8,-1
2020/4/15,AK,8,-1
2020/4/16,AK,7,-1
2020/4/17,AK,9,-1
2020/4/18,AK,5,-1
2020/4/19,AK,5,-1
2020/4/20,AK,2,-1
2020/4/21,AK,8,-1
